,Unnamed: 0,recordnum,recordtype,recordtypemapped,recordtypedesc,description,opendate,inspectiondate,lastinspresult,statuscurrent,originaladdress1,originalcity,originalstate,originalzip,link,latitude,longitude,location1
149566,149566,005944-20CP,Complaint,Request,Weeds,PER CSB: Laurel blocking sidewalk. Have to walk in street with stroller and was almost hit by a passing car. Back of home on 36th Ave south.PHOTO LINK:http://servicerequest.seattle.gov/media/seattle/report/photos/5efd0d31e896d7c48c2fc8a8/report.jpg,2020-07-09,"{'type': 'Point', 'coordinates': [-122.28719314, 47.58898322]}",Completed,Completed,1433 36TH AVE S,SEATTLE,WA,98144.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005944-20CP'},47.58898322,-122.28719314,"{'latitude': '47.58898322', 'longitude': '-122.28719314'}"
149578,149578,005954-20CP,Complaint,Request,"Emergency , Vacant Building","Hello - this home has been abandoned for over two years now, the siding has been pulled off and the windows are boarded up.  The front and back lawn is totally overgrown, and in the back of the house a half demolished deck is hanging off of it 8 feet in the air.  We live next door to this house and it is attracting homeless people who sleep in the corridor between our home and the abandoned home.  It is extremely unsightly and now there is a family of raccoons living behind",2020-07-15,"{'type': 'Point', 'coordinates': [-122.35235874, 47.62680491]}",,Completed,812 2ND AVE N,SEATTLE,WA,98109.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005954-20CP'},47.62680491,-122.35235874,"{'latitude': '47.62680491', 'longitude': '-122.35235874'}"
149580,149580,005956-20CP,Complaint,Request,Weeds,PER CSB: The blackberry vines are spilling over the retaining wall and into the sidewalkPHOTO LINK:http://servicerequest.seattle.gov/media/seattle/report/photos/5efd3971e896d7c48c2fcccc/report.jpg,2020-07-09,"{'type': 'Point', 'coordinates': [-122.30359002, 47.60557738]}",,Completed,410 22ND AVE,SEATTLE,WA,98122.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005956-20CP'},47.60557738,-122.30359002,"{'latitude': '47.60557738', 'longitude': '-122.30359002'}"
149581,149581,005957-20CP,Complaint,Request,Weeds,PER CSB: Overgrown vegetation 2/3 of sidewalk obstructed,2020-07-09,"{'type': 'Point', 'coordinates': [-122.34868713, 47.68273393]}",,Completed,726 N 74TH ST,SEATTLE,WA,98103.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005957-20CP'},47.68273393,-122.34868713,"{'latitude': '47.68273393', 'longitude': '-122.34868713'}"
149583,149583,005958-20CP,Complaint,Request,Weeds,Blocking sidewalk or stairway,2020-07-11,"{'type': 'Point', 'coordinates': [-122.3027236, 47.63070221]}",,Open Duplicate,2214 E HIGHLAND DR,SEATTLE,WA,98112.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005958-20CP'},47.63070221,-122.3027236,"{'latitude': '47.63070221', 'longitude': '-122.3027236'}"
149585,149585,005960-20CP,Complaint,Request,Weeds,Overgrown plants blackberries narrowing Northwood rd,2020-07-12,,,Completed,,,,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005960-20CP'},,,
149586,149586,005961-20CP,Complaint,Request,Weeds,Vegetation is extending onto and over sidewalk adjacent to Sand Point Way and homes 4608 through 4508 on NE 54th St.no answer,2020-06-22,,,Completed,,,,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005961-20CP'},,,
149588,149588,005962-20CP,Complaint,Request,Weeds,PER CSB: Blackberry bushes blocking most of sidewalksPHOTO LINK:http://servicerequest.seattle.gov/media/seattle/report/photos/5efe2721e896d7c48c2fd8b9/report.jpg,2020-07-09,"{'type': 'Point', 'coordinates': [-122.38034054, 47.66441594]}",Completed,Completed,4760 BALLARD AVE NW,SEATTLE,WA,98107.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005962-20CP'},47.66441594,-122.38034054,"{'latitude': '47.66441594', 'longitude': '-122.38034054'}"
149589,149589,005963-20CP,Complaint,Request,Weeds,Vegetation is extending onto and over sidewalk adjacent to Sand Point Way and homes 4608 through 4508 on NE 54th St.,2020-06-22,"{'type': 'Point', 'coordinates': [-122.27877139, 47.66788171]}",,Completed,4522 NE 54TH ST,SEATTLE,WA,98105.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005963-20CP'},47.66788171,-122.27877139,"{'latitude': '47.66788171', 'longitude': '-122.27877139'}"
149591,149591,005965-20CP,Complaint,Request,Weeds,"PER CSB: Please check this entire property. Vegetation is growing over the alley, sidewalks and adjoining properties. It's causing a safety issue for pedestrians, and collecting vermin. Thank you.PHOTO LINK:http://servicerequest.seattle.gov/media/seattle/report/photos/5efe2cc0e896d7c48c2fd9b7/report.jpg",2020-07-09,"{'type': 'Point', 'coordinates': [-122.31137637, 47.55374159]}",,Completed,5335 17TH AVE S,SEATTLE,WA,98108.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005965-20CP'},47.55374159,-122.31137637,"{'latitude': '47.55374159', 'longitude': '-122.31137637'}"
149594,149594,005967-20CP,Complaint,Request,Weeds,[Growing into the right of way from/while adjacent to private property] Overgrown plants blackberries narrowing Northwood rd,2020-07-12,"{'type': 'Point', 'coordinates': [-122.36346781, 47.73020063]}",,Completed,13931 NORTHWOOD RD NW,SEATTLE,WA,98177.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005967-20CP'},47.73020063,-122.36346781,"{'latitude': '47.73020063', 'longitude': '-122.36346781'}"
149595,149595,005968-20CP,Complaint,Request,Weeds,"PER CSB: Close to beacon ave, 13th st on the other sidePHOTO LINK:http://servicerequest.seattle.gov/media/seattle/report/photos/5f052b5de896d7c48c303ab3/report.jpg",2020-07-09,"{'type': 'Point', 'coordinates': [-122.31574801, 47.58244509]}",,Completed,2318 13TH AVE S,SEATTLE,WA,98144.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005968-20CP'},47.58244509,-122.31574801,"{'latitude': '47.58244509', 'longitude': '-122.31574801'}"
149596,149596,005969-20CP,Complaint,Request,Weeds,PER CSB: Overgrown vegetation from private property growing across and blocking the public sidewalk in front of the house.PHOTO LINKS:http://311-hubpres1.motorolasolutions.com/imageapi/image/seat-prod/726 N 74th Street-2_07072020231939.jpghttp://311-hubpres1.motorolasolutions.com/imageapi/image/seat-prod/726 N 74th Street_07072020231940.jpg,2020-07-09,"{'type': 'Point', 'coordinates': [-122.34868713, 47.68273393]}",,Closed,726 N 74TH ST,SEATTLE,WA,98103.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005969-20CP'},47.68273393,-122.34868713,"{'latitude': '47.68273393', 'longitude': '-122.34868713'}"
149597,149597,005970-20CP,Complaint,Request,Weeds,"[Growing into the right of way from/while adjacent to private property - the creek is not in public row] Overgrown vegetattion from Little Brook Creek blocks visibility for cars going up and down the hill, narrow street, cars often speeding going down hill.",2020-07-05,"{'type': 'Point', 'coordinates': [-122.29506699, 47.72818895]}",Completed,Closed,3030 NE 137TH ST,SEATTLE,WA,98125.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005970-20CP'},47.72818895,-122.29506699,"{'latitude': '47.72818895', 'longitude': '-122.29506699'}"
149600,149600,005971-20CP,Complaint,Request,Weeds,PER CSB: Sidewalk barely passablePHOTO LINK:http://servicerequest.seattle.gov/media/seattle/report/photos/5f062dfae896d7c48c3050bb/photo_20200708_132821.jpg,2020-07-09,"{'type': 'Point', 'coordinates': [-122.26408024, 47.5538752]}",,Completed,5232 SEWARD PARK AVE S,SEATTLE,WA,98118.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005971-20CP'},47.5538752,-122.26408024,"{'latitude': '47.5538752', 'longitude': '-122.26408024'}"
149615,149615,005986-20CP,Complaint,Request,Weeds,Per Online; sidewalk on Fir Street side of this property overgrown making it difficult or impossible to pass through.,2020-07-16,"{'type': 'Point', 'coordinates': [-122.31249828, 47.60250421]}",,Completed,126 15TH AVE,SEATTLE,WA,98122.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005986-20CP'},47.60250421,-122.31249828,"{'latitude': '47.60250421', 'longitude': '-122.31249828'}"
149620,149620,005990-20CP,Complaint,Request,Weeds,"The weeds & shrubs growing from this property, are overrunning onto the public right-of-way on 15th Ave NW.  This is in clear violation of the Weeds and Vegetation Code, as those rules apply to weeds and vegetation on private property that overrun on to any public right-of-way, including planting strips, streets, sidewalks, and alleys.",2020-07-16,"{'type': 'Point', 'coordinates': [-122.37649068, 47.67917338]}",,Completed,6746 15TH AVE NW,SEATTLE,WA,98117.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005990-20CP'},47.67917338,-122.37649068,"{'latitude': '47.67917338', 'longitude': '-122.37649068'}"
149626,149626,005996-20CP,Complaint,Request,Weeds,"Rose bush with thorns grown across sidewalk, almost scratched my child's face. Been leaning across sidewalk for several weeks.",2020-07-14,"{'type': 'Point', 'coordinates': [-122.39198356, 47.67509004]}",,Completed,2645 NW 64TH ST,SEATTLE,WA,98107.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005996-20CP'},47.67509004,-122.39198356,"{'latitude': '47.67509004', 'longitude': '-122.39198356'}"
149627,149627,005997-20CP,Complaint,Request,Weeds,Per CSB; Hazardous Weeds - [Growing into the right of way from/while adjacent to private property] Overgrown weeds at NE corner of Northgate Way and Interlake. Can't see when trying to make a left turn to go east on Northgate Way.,2020-07-14,"{'type': 'Point', 'coordinates': [-122.34046774, 47.70518709]}",,Closed,1400 N NORTHGATE WAY,SEATTLE,WA,98133.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005997-20CP'},47.70518709,-122.34046774,"{'latitude': '47.70518709', 'longitude': '-122.34046774'}"
149628,149628,005998-20CP,Complaint,Request,Weeds,Per CSB; [Growing into the alley right of way from/while adjacent to private property] My neighbor continually lets his vegetation grow in his portion of our unfinished alley. He does it because he is convinced that it is private property rather than the public alleyway that the plat maps and assessor site shows. Can you please verify that this is public and ask him to maintain the alley clearance? His address is 12325 40th Ave NE,2020-07-14,"{'type': 'Point', 'coordinates': [-122.28559848, 47.71822428]}",,Completed,12325 40TH AVE NE,SEATTLE,WA,98125.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005998-20CP'},47.71822428,-122.28559848,"{'latitude': '47.71822428', 'longitude': '-122.28559848'}"
149629,149629,005999-20CP,Complaint,Request,Weeds,"Per CSB; Overgrown vegetation.  [photo shows bushes Growing into the right of way from/while adjacent to private property, no public staircase]",2020-07-14,"{'type': 'Point', 'coordinates': [-122.36526385, 47.6813756]}",,Completed,7060 CLEOPATRA PL NW,SEATTLE,WA,98117.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005999-20CP'},47.6813756,-122.36526385,"{'latitude': '47.6813756', 'longitude': '-122.36526385'}"
149630,149630,006000-20CP,Complaint,Request,Weeds,Per CSB; Vegetation is encroaching onto sidewalk causing hazard,2020-07-14,"{'type': 'Point', 'coordinates': [-122.38268207, 47.67510097]}",,Completed,2011 NW 64TH ST,SEATTLE,WA,98107.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006000-20CP'},47.67510097,-122.38268207,"{'latitude': '47.67510097', 'longitude': '-122.38268207'}"
149642,149642,006010-20CP,Complaint,Request,"Land UseWeeds ,",This house on the corner has taken the planting strip and has put mounds of dirt all over to make bike jumps bike park.  Not sure what you call it but the kids whip around on bikes jumping through these mounds of dirt.  1.  It's dangerous.  The kids whip around the corner quickly on their bikes making it very dangerous for pedestrians.  There's lots of vegetation on one side making it hard to see the kids coming through making their jumps.2.  It trashes the neighborhood.,2020-07-16,"{'type': 'Point', 'coordinates': [-122.39723722, 47.68326661]}",Completed,Completed,3102 NW 75TH ST,SEATTLE,WA,98117.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006010-20CP'},47.68326661,-122.39723722,"{'latitude': '47.68326661', 'longitude': '-122.39723722'}"
149644,149644,006011-20CP,Complaint,Request,Weeds,Overgrown vegetation becoming a fire hazard.,2020-07-16,"{'type': 'Point', 'coordinates': [-122.2780234, 47.53143106]}",,Completed,7900 RENTON AVE S,SEATTLE,WA,98118.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006011-20CP'},47.53143106,-122.2780234,"{'latitude': '47.53143106', 'longitude': '-122.2780234'}"
149679,149679,006041-20CP,Complaint,Request,Weeds,Dangerous Black berry bushes growing over public sidewalksOVERGROWTH LOCATION: 8328 24TH AVE NWalternate%20csr%20I_06242020171443.msg,2020-07-17,"{'type': 'Point', 'coordinates': [-122.38732897, 47.68955723]}",,Closed,8326 24TH AVE NW,SEATTLE,WA,98117.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006041-20CP'},47.68955723,-122.38732897,"{'latitude': '47.68955723', 'longitude': '-122.38732897'}"
149682,149682,006044-20CP,Complaint,Request,Weeds,There is vegetation overgrowth onto the sidewalks along Rainier and S Hill st.,2020-07-17,"{'type': 'Point', 'coordinates': [-122.30246997, 47.58434609]}",Completed,Completed,2106 Rainier AVE S,,,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006044-20CP'},47.58434609,-122.30246997,"{'latitude': '47.58434609', 'longitude': '-122.30246997'}"
149684,149684,006046-20CP,Complaint,Request,Weeds,Overgrown on sidewalk. Sidewalk coming up,2020-07-14,"{'type': 'Point', 'coordinates': [-122.35254644, 47.6439385]}",,Completed,2622 MAYFAIR AVE N,SEATTLE,WA,98109.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006046-20CP'},47.6439385,-122.35254644,"{'latitude': '47.6439385', 'longitude': '-122.35254644'}"
149686,149686,006047-20CP,Complaint,Request,Weeds,Sidewalk completely overgrown with blackberry bushes,2020-07-16,"{'type': 'Point', 'coordinates': [-122.38580149, 47.65018251]}",,Completed,3256 23RD AVE W,SEATTLE,WA,98199.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006047-20CP'},47.65018251,-122.38580149,"{'latitude': '47.65018251', 'longitude': '-122.38580149'}"
149687,149687,006048-20CP,Complaint,Request,Weeds,vegetation growing into sidewalk,2020-07-16,"{'type': 'Point', 'coordinates': [-122.27042502, 47.68318996]}",Completed,Completed,5242 NE 75TH ST,SEATTLE,WA,98115.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006048-20CP'},47.68318996,-122.27042502,"{'latitude': '47.68318996', 'longitude': '-122.27042502'}"
149691,149691,006052-20CP,Complaint,Request,Weeds,Overgrown vegetation imparing vehicle traffic,2020-07-16,"{'type': 'Point', 'coordinates': [-122.36247609, 47.5521688]}",Completed,Completed,5452 DELRIDGE WAY SW,SEATTLE,WA,98106.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006052-20CP'},47.5521688,-122.36247609,"{'latitude': '47.5521688', 'longitude': '-122.36247609'}"
149692,149692,006053-20CP,Complaint,Request,Vacant Building,Vacant PropertySMC 22.206.260weeds/vegetation overgrownrodentshouse in danger of falling downhouse not secured from pests of vagrantsvegetation growing over sidewalk,2020-07-17,"{'type': 'Point', 'coordinates': [-122.4043121, 47.57733744]}",,Completed,5614 SW ADMIRAL WAY,SEATTLE,WA,98116.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006053-20CP'},47.57733744,-122.4043121,"{'latitude': '47.57733744', 'longitude': '-122.4043121'}"
149694,149694,006055-20CP,Complaint,Request,Weeds,for SDCI regarding growth into alley Vegetation blocking alley,2020-07-17,"{'type': 'Point', 'coordinates': [-122.38423449, 47.64461006]}",,Completed,2119 W ARMOUR ST,SEATTLE,WA,98199.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006055-20CP'},47.64461006,-122.38423449,"{'latitude': '47.64461006', 'longitude': '-122.38423449'}"
149726,149726,006086-20CP,Complaint,Request,Weeds,"Per Online; The bushes/plants on the parking strip block the intersection view at 76th and 3rd. When driving west on 76th the overgrown plants block the view of cars driving north on 3rd, an arterial.",2020-07-20,"{'type': 'Point', 'coordinates': [-122.36038921, 47.68373587]}",,Completed,7512 3RD AVE NW,SEATTLE,WA,98117.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006086-20CP'},47.68373587,-122.36038921,"{'latitude': '47.68373587', 'longitude': '-122.36038921'}"
149754,149754,006109-20CP,Complaint,Request,Weeds,Per CSB; overgrownvegetation,2020-07-17,"{'type': 'Point', 'coordinates': [-122.2982736, 47.71651093]}",,Completed,12023 28TH AVE NE,SEATTLE,WA,98125.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006109-20CP'},47.71651093,-122.2982736,"{'latitude': '47.71651093', 'longitude': '-122.2982736'}"
149756,149756,006111-20CP,Complaint,Request,Weeds,"Blackberry bushes and shrubbery have now completely overgrown this main walkway on Ferdinand st South, this would be my third request. This is a rental and the renter is the owners son and neither care.",2020-07-16,"{'type': 'Point', 'coordinates': [-122.27227871, 47.55801963]}",,Completed,4903 49TH AVE S,SEATTLE,WA,98118.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006111-20CP'},47.55801963,-122.27227871,"{'latitude': '47.55801963', 'longitude': '-122.27227871'}"
149757,149757,006112-20CP,Complaint,Request,Weeds,"Overgrown parking strip, front, and side yard. Blackberries growing across sidewalk from parking strip and private property.",2020-07-16,"{'type': 'Point', 'coordinates': [-122.3749605, 47.52478718]}",Completed,Completed,8654 34TH AVE SW,SEATTLE,WA,98126.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006112-20CP'},47.52478718,-122.3749605,"{'latitude': '47.52478718', 'longitude': '-122.3749605'}"
149791,149791,006144-20CP,Complaint,Request,Weeds,Blocking sidewalk or stairwayLucky didn't lose an eye,2020-07-16,"{'type': 'Point', 'coordinates': [-122.31111332, 47.58142004]}",,Completed,2355 17TH AVE S,SEATTLE,WA,98144.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006144-20CP'},47.58142004,-122.31111332,"{'latitude': '47.58142004', 'longitude': '-122.31111332'}"
149792,149792,006145-20CP,Complaint,Request,Weeds,"Blocking sidewalk or stairwayVegetation is growing over sidewalk and it's difficult to walk through it, especially for children.",2020-07-17,"{'type': 'Point', 'coordinates': [-122.39982191, 47.65425188]}",Completed,Completed,3803 33RD AVE W,SEATTLE,WA,98199.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006145-20CP'},47.65425188,-122.39982191,"{'latitude': '47.65425188', 'longitude': '-122.39982191'}"
149799,149799,006152-20CP,Complaint,Request,Weeds,Per CSB; Cannot pass with wheel chair without walking in the street. Vegetation is on 75th side of property.,2020-07-17,"{'type': 'Point', 'coordinates': [-122.31294233, 47.68325539]}",,Closed,1402 NE 75TH ST,SEATTLE,WA,98115.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006152-20CP'},47.68325539,-122.31294233,"{'latitude': '47.68325539', 'longitude': '-122.31294233'}"
149809,149809,006160-20CP,Complaint,Request,Weeds,blackberries blocking,2020-07-21,"{'type': 'Point', 'coordinates': [-122.28356165, 47.71407663]}",,Completed,11718 BARTLETT AVE NE,SEATTLE,WA,98125.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006160-20CP'},47.71407663,-122.28356165,"{'latitude': '47.71407663', 'longitude': '-122.28356165'}"
149826,149826,006171-20CP,Complaint,Request,Weeds,Overgrown vegetation from private property into undeveloped right of way,2020-07-17,"{'type': 'Point', 'coordinates': [-122.29919681, 47.62836396]}",,Completed,1051 26TH AVE E,SEATTLE,WA,98112.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006171-20CP'},47.62836396,-122.29919681,"{'latitude': '47.62836396', 'longitude': '-122.29919681'}"
149827,149827,006172-20CP,Complaint,Request,Weeds,"We have advised and asked them to clean up the vegetation that get over to our property line when they do their yard work.  But they continue to leave vegetation falls over to our driveway every time and don't bother to pick up or clean up, leaving the side of my driveway filled with dead and dried vegetation.  And I have to pick up every time.",2020-07-21,"{'type': 'Point', 'coordinates': [-122.35802931, 47.55476446]}",,Completed,5234 19TH AVE SW,SEATTLE,WA,98106.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006172-20CP'},47.55476446,-122.35802931,"{'latitude': '47.55476446', 'longitude': '-122.35802931'}"
149852,149852,006189-20CP,Complaint,Request,Land Use,"6798 48th Ave SWSeattle, WA 98136Per Online; I have seen rats, and other creatures going in the property several dead on the sidewalkThe property is like a junk yard, grasses and weeds up to 6ft highThere is a building with broken windows behind the house where rats and passions get in and out And I've seen them in my backyard coming from that house next doorThere is some kind of trailer parked in the driveway covered with a tarpWith COVID the last thing we need",2020-07-22,"{'type': 'Point', 'coordinates': [-122.39605664, 47.54072546]}",Completed,Completed,6798 48TH AVE SW,SEATTLE,WA,98136.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006189-20CP'},47.54072546,-122.39605664,"{'latitude': '47.54072546', 'longitude': '-122.39605664'}"
149893,149893,006225-20CP,Complaint,Request,Weeds,Overgrown vegetation,2020-07-23,"{'type': 'Point', 'coordinates': [-122.29055635, 47.67052205]}",,Completed,5703 35th AVE NE,SEATTLE,WA,98105.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006225-20CP'},47.67052205,-122.29055635,"{'latitude': '47.67052205', 'longitude': '-122.29055635'}"
149929,149929,006255-20CP,Complaint,Request,Weeds,"Per CSB; Both sidewalks are over grown with blackberries and grass, on west side of 49th Ave S, and the south side of Ferdinand st S. The landlord has done nothing for a couple years. This is a main walking route from bus stop on 50th to Columbia City.",2020-07-24,"{'type': 'Point', 'coordinates': [-122.27227871, 47.55801963]}",,Completed,4903 49TH AVE S,SEATTLE,WA,98118.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006255-20CP'},47.55801963,-122.27227871,"{'latitude': '47.55801963', 'longitude': '-122.27227871'}"
149932,149932,006258-20CP,Complaint,Request,Weeds,"Per CSB: Alley road between Delridge Way SW and 25th Ave SW & SW Findley and SW Juneau A multitude of deep potholes, mud, large rocks in the middle of the alley, broken glass, used needles, overgrown vegetation, and poor lighting make the alley between Delridge Way SW and 25th Ave SW, between SW Findley St and SW Juneau St very dangerous day and night. It is difficult on all vehicles when attempting to drive or park in the alley. It is crucial parking in the alley currently",2020-07-15,"{'type': 'Point', 'coordinates': [-122.36339461, 47.55102363]}",,Completed,5631 DELRIDGE WAY SW,SEATTLE,WA,98106.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006258-20CP'},47.55102363,-122.36339461,"{'latitude': '47.55102363', 'longitude': '-122.36339461'}"
149937,149937,006263-20CP,Complaint,Request,Weeds,Bushes covering part of sidewalk.,2020-07-24,"{'type': 'Point', 'coordinates': [-122.34062757, 47.65606609]}",,Completed,4010 INTERLAKE AVE N,,,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006263-20CP'},47.65606609,-122.34062757,"{'latitude': '47.65606609', 'longitude': '-122.34062757'}"
149944,149944,006269-20CP,Complaint,Request,Vacant Building,"Vacant Building, encroaching vegetation.",2020-07-24,"{'type': 'Point', 'coordinates': [-122.31693375, 47.70106621]}",Completed,Closed,1015 NE 100TH ST,SEATTLE,WA,98125.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006269-20CP'},47.70106621,-122.31693375,"{'latitude': '47.70106621', 'longitude': '-122.31693375'}"
149968,149968,006290-20CP,Complaint,Request,Weeds,"verge between sidewalk and street is badly overgrown. On one side, blackberries swing out onto cars. On the other, the sidewalk is half blocked.",2020-07-26,"{'type': 'Point', 'coordinates': [-122.31210072, 47.55013804]}",Completed,Completed,5838 16TH AVE S,SEATTLE,WA,98108.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006290-20CP'},47.55013804,-122.31210072,"{'latitude': '47.55013804', 'longitude': '-122.31210072'}"
149977,149977,006299-20CP,Complaint,Request,Weeds,Per CSB; overgrown vegetation,2020-07-23,"{'type': 'Point', 'coordinates': [-122.35532935, 47.54690819]}",,Completed,1604 SW GRAHAM ST,SEATTLE,WA,98106.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006299-20CP'},47.54690819,-122.35532935,"{'latitude': '47.54690819', 'longitude': '-122.35532935'}"
149982,149982,006303-20CP,Complaint,Request,Weeds,Per CSB; on e side of MLK not Raymond. Blackberries blocking more than half of sidewalk. Not wide enough to pass. Not wide enough for wheelchairs or walkers.,2020-07-23,,Completed,Completed,5960 MLK Jr WAY S,SEATTLE,WA,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006303-20CP'},,,
149994,149994,006313-20CP,Complaint,Request,Weeds,Per CSB; Planting strip on corner of delridge way sw and findlay in front of mini mart. Thorn bushes growing into walkway.,2020-07-23,"{'type': 'Point', 'coordinates': [-122.3632758, 47.55204794]}",Completed,Completed,5455 DELRIDGE WAY SW,SEATTLE,WA,98106.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006313-20CP'},47.55204794,-122.3632758,"{'latitude': '47.55204794', 'longitude': '-122.3632758'}"
149995,149995,006314-20CP,Complaint,Request,Weeds,sidewalk difficult to navigate due to blackberries and other vegitation,2020-06-18,"{'type': 'Point', 'coordinates': [-122.28532435, 47.60289374]}",Completed,Completed,175 Lake Washington BLVD,SEATTLE,WA,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006314-20CP'},47.60289374,-122.28532435,"{'latitude': '47.60289374', 'longitude': '-122.28532435'}"
149997,149997,006316-20CP,Complaint,Request,Weeds,"Address location: 3824 M L KING JR  WAY S200 yards of the sidewalk spanning multiple properties has not been maintained in months. The remaining sidewalk is 12 to 24 in wide, which is not wide enough for people to pass safely. The doctor is going over the sidewalk which make it dangerous to travel also. This is a safety hazard for pedestrians, bicycles, strollers, wheelchairs, walkers. I have reported it twice before. Nothing has been done. Please respond.",2020-06-17,"{'type': 'Point', 'coordinates': [-122.29630218, 47.56934677]}",Completed,Completed,3822 M L KING JR WAY S,SEATTLE,WA,98108.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006316-20CP'},47.56934677,-122.29630218,"{'latitude': '47.56934677', 'longitude': '-122.29630218'}"
149999,149999,006317-20CP,Complaint,Request,Weeds,"Blackberries overgrown into sidewalk, difficult to pass safely",2020-07-20,"{'type': 'Point', 'coordinates': [-122.36709363, 47.53345153]}",Completed,Completed,2629 SW HOLDEN ST,SEATTLE,WA,98126.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006317-20CP'},47.53345153,-122.36709363,"{'latitude': '47.53345153', 'longitude': '-122.36709363'}"
